"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"37","Dorlan Pabón","Right Winger",24,"12/13","Liga Águila II","Atl. Nacional","Serie A","Parma","4,00 Mill. €",2800000,"Yes","No",8e+06,"Yes",4830000
"38","Douglas Santos","Left-Back",19,"13/14","Série A","Náutico","LaLiga","Granada CF","2,30 Mill. €",1500000,"Yes","No",6e+06,"Yes",2300000
"39","Duván Zapata","Centre-Forward",22,"13/14","Torneo Final","Estudiantes","Serie A","SSC Napoli","7,47 Mill. €",3e+06,"Yes","No",12500000,"No",NA
"40","Eduardo Costa","Defensive Midfield",26,"09/10","Série A","São Paulo","Ligue 1","Monaco","2,50 Mill. €",1500000,"No","No",2e+06,"Yes",0
"41","Eduardo Salvio","Right Winger",19,"09/10","Torneo Final","Lanús","LaLiga","Atlético Madrid","8,00 Mill. €",3500000,"Yes","No",2.2e+07,"Yes",1.1e+07
"42","Eduardo Vargas","Second Striker",22,"11/12","Primera División","U. de Chile","Serie A","SSC Napoli","13,50 Mill. €",6e+06,"Yes","No",1.1e+07,"Yes",6e+06
"43","Elias","Central Midfield",25,"10/11","Série A","Corinthians","LaLiga","Atlético Madrid","7,00 Mill. €",7e+06,"Yes","No",8500000,"Yes",8850000
"44","Emanuel Herrera","Centre-Forward",25,"12/13","Primera División","Española","Ligue 1","Montpellier","2,50 Mill. €",1500000,"Yes","No",2500000,"Yes",0
"45","Emiliano Alfaro","Centre-Forward",23,"11/12","Primera División","Liverpool FC","Serie A","Lazio","2,49 Mill. €",675000,"Yes","No",3e+06,"Yes",420000
"46","Emilio Mac Eachen","Centre-Back",20,"12/13","Primera División","Peñarol","Serie A","Parma","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
"47","Erik Lamela","Right Winger",19,"11/12","Primera Nacional","River Plate","Serie A","AS Roma","17,00 Mill. €",5e+06,"Yes","No",3e+07,"Yes",3e+07
"48","Ezequiel Cirigliano","Defensive Midfield",21,"13/14","Torneo Final","River Plate","Serie A","Hellas Verona","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
"49","Ezequiel Luna","Centre-Back",22,"09/10","Primera Nacional","Tiro Federal","LaLiga","CD Tenerife","300 Th. €",6e+05,"No","Yes",1800000,"Yes",NA
"50","Ezequiel Muñoz","Centre-Back",19,"10/11","Torneo Final","Boca Juniors","Serie A","Palermo","5,00 Mill. €",1500000,"Yes","No",6500000,"Yes",0
"51","Ezequiel Rescaldani","Centre-Forward",21,"13/14","Torneo Final","Vélez Sarsfield","LaLiga","Málaga CF","300 Th. €",2200000,"Yes","No",NA,"Yes",NA
"52","Fabián Monzón","Left-Back",24,"11/12","Torneo Final","Boca Juniors","Ligue 1","OGC Nice","2,10 Mill. €",1200000,"No","No",3500000,"Yes",3300000
"53","Fabián Orellana","Right Winger",23,"09/10","Primera División","Audax Italiano","Serie A","Udinese Calcio","3,50 Mill. €",8e+05,"Yes","No",3e+06,"Yes",NA
"54","Facundo Roncaglia","Centre-Back",22,"09/10","Torneo Final","Boca Juniors","LaLiga","Espanyol","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
"55","Fágner","Right-Back",23,"12/13","Série A","Vasco da Gama","Bundesliga","VfL Wolfsburg","3,00 Mill. €",2e+06,"No","No",3e+06,"Yes",0
